title,company,company_size,industry,type,salary,company_type,source,experience,education,salary2
sas数据分析挖掘师(深圳索信达数据技术有限公司),深圳索信达数据技术有限公司,100-499人,数据分析师,全职,12000-20000,外商独资/办事处,猎聘,3-5年,本科,16000.0
高级数据分析工程师(Baidu),百度在线网络技术(北京)有限公司,10000人以上,数据挖掘工程师,全职,20000-25000,外商独资/办事处,猎聘,不限,本科,22500.0
数据分析工程师(寄云鼎城科技),北京寄云鼎城科技有限公司,100-499人,数据分析师,全职,20000-25000,民营,猎聘,5-10年,本科,22500.0
数据产品分析师(天创信用服务有限公司),天创信用服务有限公司,100-499人,数据分析师,全职,12000-20000,民营,猎聘,3-5年,本科,16000.0
风险政策分析师（数据方向)(J191024008)(滴滴),北京嘀嘀无限科技发展有限公司,5000-10000人,能源/采掘/化工/环保,全职,25000以上,外商独资/办事处,猎聘,5-10年,本科,25000.0
数据分析工程师(旭阳集团),北京旭阳宏业化工有限公司,5000-10000人,数据分析师,全职,12000-20000,民营,猎聘,不限,本科,16000.0
数据分析工程师(北京英迪瑞讯网络科技有限公司),北京英迪瑞讯网络科技有限公司,1-49人,数据分析师,全职,12000-20000,民营,猎聘,不限,本科,16000.0
网络数据分析工程师(泰康保险集团股份有限公司),泰康保险集团股份有限公司,10000人以上,IT/互联网,全职,12000-20000,民营,猎聘,3-5年,本科,16000.0
集团用户数据资产整合分析师(美团点评),北京三快在线科技有限公司,10000人以上,数据分析师,全职,面议,上市公司,猎聘,3-5年,本科,
分析师(北京勾正数据科技有限公司),北京勾正数据科技有限公司,1-49人,情报信息分析师,全职,12000-20000,民营,猎聘,3-5年,本科,16000.0
数据分析工程师(芯视界(北京)科技有限公司),芯视界(北京)科技有限公司,50-99人,数据分析师,全职,8000-12000,民营,猎聘,不限,本科,10000.0
大数据工程师（数据分析岗）(北京展云科技有限公司),北京展云科技有限公司,,数据分析师,全职,8000-12000,民营,猎聘,3-5年,本科,10000.0
数据分析工程师(跨越速运),跨越速运集团有限公司,10000人以上,数据分析师,全职,12000-20000,民营,猎聘,5-10年,本科,16000.0
2020届-数据分析工程师(中油瑞飞),北京中油瑞飞信息技术有限责任公司,2000-5000人,数据分析师,全职,5000-8000,国企,猎聘,不限,本科,6500.0
数据分析实习工程师(北京清能互联科技有限公司),北京清能互联科技有限公司,100-499人,数据分析师,全职,3000-5000,民营,猎聘,不限,本科,4000.0
信息流-数据分析工程师 (MJ003265)(搜狗),北京搜狗科技发展有限公司,2000-5000人,数据分析师,全职,面议,外商独资/办事处,猎聘,不限,本科,
bi工程师数据分析方向(广州欧昊装饰工程有限公司北京分公司),博洛尼家居装饰(北京)有限公司,,IT/互联网,全职,12000-20000,民营,猎聘,3-5年,大专,16000.0
需求分析师（大数据产品部）(用友),北京用友政务软件股份有限公司,500-999人,其他互联网+产品职位,全职,12000-20000,民营,猎聘,1-3年,本科,16000.0
云计算数据分析开发工程师(中国移动通信有限公司研究院),中国移动通信有限公司研究院,500-999人,架构师,全职,12000-20000,国企,猎聘,3-5年,本科,16000.0
数据分析工程师(J10075)(科创恒利),北京科创恒利科技有限公司,100-499人,数据分析师,全职,8000-12000,民营,猎聘,不限,大专,10000.0
大数据需求分析师(嘉和美康),北京嘉和美康信息技术有限公司,1000-2000人,IT/互联网,全职,12000-20000,民营,猎聘,1-3年,硕士,16000.0
数据运营分析师(新智控股投资有限公司),新智控股投资有限公司,2000-5000人,数据产品经理,全职,面议,民营,猎聘,1-3年,本科,
生信工程师-数据分析(北京优乐复生科技有限责任公司),北京优乐复生科技有限责任公司,1-49人,生物技术员,全职,8000-12000,民营,猎聘,1-3年,本科,10000.0
